	Domain	Phylum	Class	Subclass	Order	Suborder	Family	Genus
OTU147	Bacteria	Firmicutes	Bacilli	Bacilli_subclass	Bacillales	Bacillales_suborder	Bacillaceae 1	Bacillus
OTU148	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidia_subclass	Bacteroidales	Bacteroidales_suborder	Bacteroidaceae	Bacteroides
OTU149	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Lachnospiraceae	Blautia
OTU150	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Micrococcineae	Micrococcaceae	Rothia
OTU151	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Arenibacter
OTU152	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Oceanospirillales	Oceanospirillales_suborder	Oceanospirillaceae	Marinomonas
OTU153	Bacteria	Chlamydiae	Chlamydiae	Chlamydiae_subclass	Chlamydiales	Chlamydiales_suborder	Parachlamydiaceae	Parachlamydia
OTU154	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Clostridiales_Incertae Sedis XI	Finegoldia
OTU155	Bacteria	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Pseudonocardineae	Pseudonocardiaceae	Crossiella
OTU156	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Planctomyces
OTU157	Bacteria	Firmicutes	Negativicutes	Negativicutes_subclass	Selenomonadales	Selenomonadales_suborder	Veillonellaceae	Veillonella
OTU158	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_subclass	Alteromonadales	Alteromonadales_suborder	Alteromonadaceae	Melitea
OTU159	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_subclass	Rhodospirillales	Rhodospirillales_suborder	Acetobacteraceae	Acetobacter
OTU160	Bacteria	Firmicutes	Clostridia	Clostridia_subclass	Clostridiales	Clostridiales_suborder	Peptostreptococcaceae	Clostridium XI
OTU161	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_subclass	Rhodocyclales	Rhodocyclales_suborder	Rhodocyclaceae	Zoogloea
OTU162	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteria_subclass	Flavobacteriales	Flavobacteriales_suborder	Flavobacteriaceae	Subsaxibacter
OTU163	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetacia_subclass	Planctomycetales	Planctomycetales_suborder	Planctomycetaceae	Gemmata
